barcode,Xcoord,Ycoord,Zcoord
cell572,3170.625,1301.0625,0
cell573,3124.0,1313.7619047619048,0
cell574,2686.913043478261,1753.7391304347825,0
cell575,4340.681818181818,46.29545454545455,0
cell576,4297.666666666667,107.08333333333333,0
cell577,2731.8333333333335,1735.125,0
cell578,3394.85546875,1042.46875,0
cell579,3495.9824561403507,929.5175438596491,0
cell581,2162.4,2305.5714285714284,0
cell582,4161.535714285715,242.17857142857142,0
cell583,1401.081081081081,3069.5855855855857,0
cell584,3854.5365853658536,538.5365853658536,0
cell585,3798.9216417910447,644.1343283582089,0
cell586,4199.8794520547945,233.6164383561644,0
cell587,3879.58,520.94,0
cell588,3592.536082474227,851.9484536082474,0
cell589,3331.861423220974,1138.0262172284645,0
cell590,3751.803418803419,728.2564102564103,0
cell591,3495.7162162162163,941.6351351351351,0
cell592,1934.128205128205,2605.4871794871797,0
cell593,3973.8076923076924,452.05384615384617,0
cell594,3469.2567567567567,1037.2972972972973,0
cell595,4400.635294117647,118.82352941176471,0
cell596,3937.1397849462364,522.1505376344086,0
cell597,3811.346153846154,581.4615384615385,0
cell598,3892.8823529411766,582.8823529411765,0
cell599,3631.8611111111113,863.5277777777778,0
cell600,4033.1724137931033,400.86206896551727,0
cell601,3478.63133640553,998.0645161290323,0
cell602,1471.3076923076924,3043.9102564102564,0
cell603,2046.4059405940593,2452.3069306930693,0
cell604,2768.266666666667,1684.16,0
cell605,4114.155440414508,372.1554404145078,0
cell606,3124.693181818182,1385.1931818181818,0
cell607,4188.483606557377,320.25409836065575,0
cell608,2490.336448598131,2003.177570093458,0
cell609,3266.340336134454,1272.6806722689075,0
cell610,4301.260869565217,165.65217391304347,0
cell611,3591.0243902439024,836.3658536585366,0
cell612,3394.590425531915,1078.276595744681,0
cell613,2771.56,1773.0666666666666,0
cell614,2865.1801242236024,1611.9875776397516,0
cell615,1872.1891891891892,2631.074324324324,0
cell616,2953.285714285714,1488.7714285714285,0
cell617,4129.202898550725,310.84057971014494,0
cell618,3239.4166666666665,1239.4642857142858,0
cell619,2645.7184466019417,1828.5242718446602,0
cell620,3656.1720430107525,888.7956989247311,0
cell621,3179.751366120219,1337.9918032786886,0
cell622,3179.4,1374.9,0
cell624,3548.8009049773755,932.7828054298642,0
cell625,1595.3333333333333,2940.4561403508774,0
cell626,3910.663043478261,640.2391304347826,0
cell627,4171.1578947368425,393.21531100478467,0
cell628,4107.7169811320755,435.22641509433964,0
cell629,4248.306451612903,293.9516129032258,0
cell630,2073.3859649122805,2529.157894736842,0
cell631,4034.1063829787236,476.8936170212766,0
cell632,1444.625,3145.6381578947367,0
cell633,3904.2631578947367,514.5263157894736,0
cell634,2973.840277777778,1593.1840277777778,0
cell635,3941.285714285714,577.1904761904761,0
cell636,2715.0,1823.6491228070176,0
cell637,3030.353233830846,1477.8407960199006,0
cell638,3704.767441860465,896.5813953488372,0
cell639,4053.9533333333334,494.8933333333333,0
cell640,2005.8314606741574,2598.5,0
cell641,3316.8777777777777,1242.3055555555557,0
cell642,4255.871794871795,358.94871794871796,0
cell643,2937.5675675675675,1652.6216216216217,0
cell644,2941.1748251748254,1543.2167832167831,0
cell646,4167.412698412699,447.1746031746032,0
cell647,1675.0833333333333,2880.027777777778,0
cell648,3218.9166666666665,1381.1666666666667,0
cell649,1888.9805825242718,2720.5533980582522,0
cell650,3767.684210526316,770.8947368421053,0
cell651,1491.3333333333333,3117.8333333333335,0
cell652,4454.9182389937105,170.35849056603774,0
cell653,2816.3680981595094,1726.6809815950921,0
cell654,3197.2212189616253,1456.7336343115123,0
cell655,3373.230769230769,1231.4769230769232,0
cell656,3842.335260115607,768.8843930635838,0
cell657,1606.8510638297873,3023.425531914894,0
cell658,3418.4109589041095,1143.310502283105,0
cell659,2693.2105263157896,1929.6315789473683,0
cell660,3995.8258706467664,591.3781094527363,0
cell661,2756.836363636364,1863.5272727272727,0
cell662,3451.304347826087,1208.695652173913,0
cell663,3938.6103896103896,656.1688311688312,0
cell665,1547.4516129032259,3080.7419354838707,0
cell666,3590.24861878453,998.4254143646409,0
cell667,4120.458333333333,498.525,0
cell668,1336.762962962963,3300.3333333333335,0
cell669,1330.0,3233.235294117647,0
cell670,1375.9285714285713,3232.9285714285716,0
cell671,3612.366666666667,1050.6416666666667,0
cell672,1401.5652173913043,3174.5652173913045,0
cell673,2982.3333333333335,1596.9880952380952,0
